Years of Gym Membership,Weekly Workout Hours,Age,Nutrition Knowledge Level,Income Level,Monthly Expenditure (USD)
7,17,33,1,2,1188.6150560713377
3,5,38,2,1,610.127955847995
1,4,62,3,2,768.4679020773822
5,12,43,2,3,1106.3406020153457
5,18,40,1,2,1088.5646739701356
9,7,35,3,3,1248.1264975937636
3,8,48,3,1,794.0060501902902
5,16,59,4,3,1280.9641498910362
1,2,29,5,1,429.2062882475387
9,18,18,4,3,1341.4857139456285
1,10,59,3,1,725.3273971374487
9,16,26,3,3,1325.8393187032223
3,20,20,5,1,856.8564845227028
7,18,43,2,1,1069.9693931712345
6,1,26,5,1,700.5579845366044
8,7,59,4,3,1208.0396127314862
7,18,33,2,3,1236.993020087168
4,6,41,4,1,784.342790124135
1,16,31,5,2,970.5069201948752
4,5,20,2,1,523.2345093407457
7,18,51,5,2,1360.291299140852
9,5,50,1,1,831.0991764478285
8,1,41,3,3,1014.6230229106671
8,5,26,2,2,893.532470403028
0,4,30,3,3,660.7094737225993
8,18,19,1,2,1059.01599461504
6,19,24,2,2,1072.237890128005
8,3,38,3,2,995.4208557730458
7,16,36,3,2,1083.638585041744
0,10,42,2,3,672.0739331408953
7,3,64,3,2,1073.975897102418
7,12,39,3,1,925.1244313061782
10,19,28,2,1,1202.8475463130762
2,16,50,3,2,1057.504391725156
0,8,49,3,3,836.8190878082321
7,3,38,4,3,971.4331108893942
2,13,56,4,2,886.8878820479589
2,18,37,1,3,936.0764543163132
0,2,25,4,3,593.6414750451523
10,13,59,4,3,1462.5041807458695
4,7,54,1,2,908.092905022467
9,0,26,3,1,803.356368183401
6,9,42,3,1,843.4681880778663
9,17,42,4,1,1262.3033855864135
8,15,50,1,1,1155.3209112560155
6,7,19,3,1,709.2458036148845
8,0,36,5,3,1053.9790922244065
7,11,63,2,3,1201.2714266654204
1,7,37,2,3,727.912650159636
0,15,59,2,2,810.3997214813676
6,17,58,4,3,1411.964510686419
6,3,59,2,1,789.9112124795687
7,5,46,2,3,1062.0018145249094
4,11,23,5,1,816.7623454194206
2,8,34,3,3,975.4538778445042
7,14,42,5,1,1076.7132767979372
5,15,55,4,3,1206.1427487411318
10,11,21,2,1,981.3890081018119
2,13,47,3,1,742.4742381975718
0,12,37,2,2,660.6265832241719
2,1,20,2,3,616.3704480632327
4,2,40,4,1,626.4156067710794
2,9,35,2,3,843.0985453819552
0,8,43,1,1,534.8224094007145
4,19,53,3,2,1147.4686589839973
9,7,25,3,2,1038.475438450317
6,9,34,1,2,865.2799366758919
6,18,48,4,2,1119.8629932442705
10,2,54,2,1,972.9631581145052
8,4,62,2,3,1153.9146215753385
9,2,50,3,2,1011.4921875865424
9,15,44,4,2,1322.3939115859882
2,16,62,4,2,1088.2152956176449
6,14,21,4,3,1115.9078634671014
0,2,39,2,1,399.9319302951494
3,11,43,4,1,865.9389953809548
3,8,49,1,1,631.2995890267449
4,20,41,5,1,1038.43119544249
6,11,63,4,3,1304.8909607204885
6,14,52,5,3,1316.788751948852
10,1,54,2,3,1138.2485248209791
3,17,49,4,2,1074.5286569406628
6,19,24,3,3,1162.589593153236
10,11,50,2,1,1138.0640226656471
2,3,48,1,3,764.4027911088634
5,15,29,1,2,989.5934275298789
1,15,28,5,1,773.0452960908349
9,0,41,5,3,1173.1815203852104
8,1,25,3,1,662.8680747288997
4,2,49,3,1,564.3643820819285
5,20,55,1,3,1145.8770308120563
3,19,39,4,3,1200.8028327640225
10,16,51,1,2,1335.184372065659
9,19,36,1,3,1304.0842788721093
6,20,37,3,3,1255.755301482995
8,0,31,5,3,1021.8238725485232
6,19,50,3,1,1083.834747541969
0,5,27,3,2,484.1400680493689
0,14,33,3,1,602.2712037750199
8,13,21,1,3,1057.9747786339965
10,19,44,4,2,1422.209549839753
8,14,45,1,3,1318.1520822728148
3,13,60,2,1,819.6444449326789
8,20,33,3,1,1151.3386837563066
2,4,50,3,3,843.030785378365
6,5,36,2,2,866.7777064174976
5,16,38,3,1,924.7061553937809
7,10,39,3,3,1165.934960694613
10,15,26,3,3,1341.0014485551137
8,11,26,2,3,1087.4370427064596
4,14,26,1,2,772.363794409504
0,3,44,3,3,612.8342186836257
2,17,34,4,3,1067.2927723073558
9,20,61,2,1,1386.3532033816773
7,2,62,5,3,1150.0377545538922
10,7,25,2,2,1095.095276441444
5,2,33,1,3,782.3809762781068
7,7,35,2,2,867.7758702546192
8,17,50,5,3,1429.5266442571406
3,9,18,4,3,914.5928466418426
0,19,29,5,3,944.8267196547158
0,16,23,2,2,688.2023886189152
9,7,58,5,1,1189.2817354121162
3,10,22,2,2,775.8395904453997
6,4,33,4,1,780.2963178804428
1,12,35,4,2,811.7323956096083
2,20,35,1,3,1058.1424865901274
0,4,18,4,3,605.4279579069821
4,12,36,3,1,874.0255084837706
0,5,25,5,1,508.5969843644208
7,4,20,5,2,872.6051697947612
0,8,42,2,2,651.726013841398
10,15,22,4,1,1110.7279139442815
0,1,57,1,1,386.72289719065566
1,0,36,1,2,402.9279066229658
1,7,35,1,1,484.6708151085998
5,18,48,3,1,1055.649017144419
6,10,50,4,1,1060.0525452078082
4,11,64,1,1,890.8039930722607
0,11,35,3,3,794.5746161122606
0,6,56,5,3,845.0181197807681
2,12,33,2,1,647.1315432140235
1,7,33,4,2,681.5379034466192
4,8,64,4,3,1086.211886989019
9,6,55,5,2,1178.7574620435116
5,20,58,4,2,1301.0387361976339
6,14,24,4,3,1074.6265528478743
3,1,31,4,2,632.5039772440147
6,19,60,4,2,1265.619201042061
10,11,42,3,1,1125.8802322100396
7,0,49,3,1,827.6879871911557
10,7,55,2,1,1092.4994632307116
0,4,39,4,3,683.9549769679611
5,14,33,5,1,992.0190727570263
7,0,46,1,2,854.1353523344067
4,0,33,2,2,626.9749607167201
3,9,29,1,2,784.6498539879218
1,9,34,1,2,650.969456902067
5,20,54,4,2,1259.6212982399672
5,14,44,5,3,1139.8661420532462
10,16,42,1,2,1175.815251602217
0,5,30,1,3,583.1718254933934
8,2,25,2,2,874.8627314029121
10,12,22,5,3,1316.4253205415428
5,15,29,5,3,1192.5442938536285
2,7,58,1,2,739.3240123620761
3,14,20,5,2,884.1247915097947
10,16,52,2,2,1340.8344752820628
3,16,50,2,2,889.9254421150837
2,12,39,2,1,784.4459675589642
9,16,61,4,1,1354.878078342714
2,5,26,1,3,706.4216845275527
2,16,58,5,3,1224.2463499840464
3,15,35,2,1,761.6537003637376
6,13,46,1,3,1159.788734660658
3,12,56,1,2,876.5386472710677
8,5,44,4,3,1147.4000084096465
0,2,53,5,3,667.8882807621253
7,13,62,5,3,1362.5606824714168
6,13,34,2,1,813.4872390944057
1,14,51,2,1,682.2930666158428
7,7,63,1,3,1132.3148910617613
0,14,20,5,2,694.6134056777959
10,12,22,5,3,1316.947825723845
8,16,31,2,1,1118.7476505487136
8,20,20,3,2,1158.9144172044284
1,2,40,1,3,606.7615329930017
6,5,56,5,1,963.2255280559303
9,4,47,4,2,1051.504691383082
2,16,62,4,3,1114.2302292848287
6,1,40,3,1,687.777754424571
9,14,44,2,2,1254.044026623112
8,4,27,2,3,886.5892506490848
3,19,42,2,2,957.625791199285
0,5,30,4,2,646.5443967489098
1,5,33,2,2,420.04205592925416
0,17,58,4,1,843.6315070305362
4,17,51,3,3,1261.496657905168
4,3,54,1,2,855.4993313200823
10,16,39,5,2,1404.967755891512
6,13,34,3,2,1078.5919029023225
8,13,40,4,1,1032.5693536931892
8,12,53,3,2,1151.6772101561414
2,6,26,5,1,685.7082056951207
2,11,19,1,1,531.8079729971187
2,14,49,5,2,881.1467389554629
3,18,39,4,2,1045.9206457207467
7,10,60,5,1,1090.4501414002384
5,14,30,3,1,874.0565860644925
7,11,25,2,2,835.9360937350855
0,2,18,3,1,187.5896309906038
7,16,34,4,1,1075.1279703721184
3,2,29,1,2,549.8434720125875
10,18,21,5,2,1292.1568782920156
0,19,30,1,3,879.5241803241389
7,3,48,4,2,931.0559663246737
3,2,58,5,2,816.7279611063992
5,15,24,3,2,937.5621664010508
7,11,40,3,3,1204.2722994695796
3,7,41,4,1,621.056280825288
2,16,22,5,2,847.6323462743667
8,6,22,3,2,974.4880848712426
2,10,34,4,3,848.1430481069975
8,17,47,4,3,1400.9976465129846
1,0,26,1,3,593.472033438359
1,2,23,3,1,402.9195503835257
1,3,42,5,3,877.0251435500063
5,12,36,3,1,929.9946286555888
2,5,33,3,2,622.4167995507486
8,13,38,3,2,1076.7989707567633
3,4,19,4,2,614.8041052056898
0,15,27,2,3,814.0026949994251
3,14,33,2,2,872.3130096303361
0,14,54,1,3,913.2265147792878
4,3,32,3,1,563.7298430930016
3,7,30,2,2,661.0853654351275
7,15,30,1,1,957.9266649489273
7,15,49,4,3,1414.5450232684807
6,3,62,3,3,1005.1523861527214
2,12,64,5,2,1006.3782796497167
0,12,63,4,2,857.0093575932921
0,1,25,1,3,482.26866124193026
10,2,60,4,2,1100.1383969562455
2,7,35,5,2,769.4061884775689
5,14,53,4,1,1076.0391553371687
6,10,43,1,3,963.8005454624864
5,8,27,5,1,844.801624907084
5,6,48,5,2,900.254669183773
5,12,50,4,1,972.9071440526487
2,1,46,5,3,824.4405597970747
5,7,22,4,1,738.7588057499906
7,6,30,3,1,793.3260306068047
10,11,18,5,2,1193.1245229370738
10,18,40,4,3,1417.1382848551814
1,6,57,3,2,790.7286841674934
4,9,20,5,2,806.7483448922793
0,15,20,3,3,806.0999565466914
0,2,24,5,1,392.4287637816937
4,9,53,1,2,951.6052464567427
2,5,52,1,1,611.9318072947152
3,17,32,4,3,1102.6363991173778
2,17,57,2,2,1024.378098045542
0,4,20,1,1,297.9505587765676
0,20,46,2,1,804.463660554291
4,6,47,3,2,853.264219725379
5,1,56,3,3,972.2450313104086
2,10,35,2,1,612.7198437081728
8,12,28,4,3,1164.6714357651847
4,4,60,5,2,989.0908187270038
7,5,55,2,1,924.3355904764003
0,13,57,2,1,663.0321598056508
4,11,18,2,1,765.1117218773179
2,3,46,2,3,721.4293345066471
0,5,27,2,1,400.93116046010334
3,9,45,4,1,833.4343377120296
4,17,48,1,2,1067.9576904213623
6,14,36,5,1,974.7268943131307
0,7,20,1,3,595.8621035501218
2,8,53,2,2,769.489246314341
1,4,60,1,2,680.9781106134527
8,9,32,4,1,953.7167557771878
9,19,50,3,2,1349.8621447597907
5,5,58,1,1,721.8813576959122
9,15,60,5,2,1459.2585694248387
2,2,62,4,3,832.8109960178948
7,9,43,3,1,1008.4184936594371
7,10,33,4,3,1120.309936881655
1,10,53,2,1,699.2326101883568
5,16,50,3,3,1286.9625134130347
6,3,37,5,3,973.4704014002988
1,3,30,3,2,573.5923393181804
10,16,50,5,1,1344.7016715368122
9,8,22,2,2,946.6713048560356
1,18,54,5,3,1141.112952669908
9,4,31,4,1,942.2393314862213
0,5,44,1,3,735.0474178799483
7,2,40,4,3,989.2549880089708
0,0,31,4,3,592.293806846814
8,19,57,3,3,1448.646584817362
10,15,21,2,2,1174.6680707809633
5,10,56,1,3,1030.4103361644525
6,12,36,5,2,1061.547927796306
9,9,64,3,3,1415.9105959256922
6,2,21,2,1,611.3714273019439
9,8,47,1,3,1178.805277047999
2,11,36,4,3,877.3801214237048
1,13,48,2,1,764.5497535716598
8,0,48,2,1,842.3480329631903
7,17,26,2,3,1186.3630950699403
9,16,30,4,3,1435.0561902520403
6,8,31,5,2,938.370300656358
8,8,63,3,1,1012.8849696942264
3,9,27,5,1,710.2537345509054
3,18,48,1,2,937.638947487545
0,14,54,3,3,952.0332342928642
7,4,40,1,3,963.6597743304688
2,14,44,4,1,877.6449386088331
6,19,23,5,2,1122.2140913047838
1,1,43,2,3,661.6009996902093
1,12,19,3,1,584.2617238065496
6,15,62,2,3,1311.6267049328494
5,14,30,1,3,953.4791870611633
2,9,36,2,3,775.1111101102023
8,13,18,2,1,881.0539138687542
9,9,57,4,2,1180.78240986129
5,13,49,4,2,1105.6164861620764
9,8,39,5,3,1286.094698110399
9,13,46,1,2,1224.6031896375152
5,2,19,4,3,797.7133652706497
0,19,57,4,1,861.8803500662333
3,15,55,5,1,927.6418932953864
9,1,28,3,1,865.1780946211858
5,9,34,5,3,1038.8876613964123
5,2,60,2,2,813.7082649992971
10,10,25,2,1,1022.5212196418616
4,10,39,4,3,998.0391730540128
0,20,21,4,2,771.6515914616521
7,20,28,5,2,1196.6316436460536
4,12,25,5,2,919.5261282731719
4,6,26,1,3,726.3842917506331
6,16,43,2,3,1190.7206272818892
3,1,19,5,3,671.7608180660624
5,11,33,3,1,777.7005276846878
3,9,48,1,3,875.6025675401876
2,17,23,5,1,812.964091207528
6,10,38,4,1,925.9748298830666
7,15,43,5,1,1161.2163030444299
3,16,36,4,3,1030.8472265541218
1,18,45,4,1,924.5754477698205
9,17,25,2,3,1411.04757117177
2,2,31,2,3,634.0026815882296
0,20,41,5,1,766.6409014326225
7,15,61,5,1,1117.9210786967822
2,5,54,3,1,635.1593015316496
9,11,43,1,3,1180.2941298177432
6,10,48,1,3,1070.2569380378486
9,14,49,5,1,1250.4142588791508
4,14,58,2,1,865.6960122875726
9,15,19,3,2,1126.4238273460694
4,9,42,1,1,694.7010459953686
6,11,61,5,2,1276.7775475892236
8,12,19,2,2,925.9208642088331
4,3,59,2,3,877.0590282661501
0,6,18,2,3,571.6766024785812
9,1,53,4,2,1017.3952339773252
9,14,29,2,2,1191.6557754178848
0,7,26,5,1,469.00626313752844
1,6,53,3,2,679.2058716447826
5,14,58,5,1,1130.9674745144926
8,13,45,2,3,1185.4546284679807
7,7,55,3,1,996.7294684076139
4,11,50,1,3,977.3715091034019
0,12,59,1,2,734.0829974708175
6,10,63,5,2,1139.607812157
4,16,39,3,2,948.9726862110272
5,16,42,5,1,1075.3532221280045
6,3,35,3,3,931.8033502406778
2,20,23,3,3,1049.548148187616
9,7,35,5,3,1273.8173979481744
2,4,33,3,3,762.0513443753395
4,15,32,2,3,947.3612061022963
5,3,25,3,1,576.5357281919481
8,14,30,3,3,1262.5456914573404
4,11,60,5,2,1072.7752115439553
0,4,24,1,3,562.5189656588402
3,15,34,4,2,935.5535733362071
4,13,49,3,1,873.5153006772332
9,9,39,4,1,1077.5826861910227
9,6,30,3,2,923.6287537546493
4,12,64,5,3,1194.0132801320779
6,19,40,5,1,1133.3238214572402
3,4,46,3,1,660.4346291771769
0,2,39,5,1,420.2751458721677
4,14,18,5,3,957.3443039975599
6,3,46,3,2,860.342421051168
9,14,22,1,2,1066.8618320693247
9,13,52,3,3,1437.7529306563079
5,19,27,1,1,851.1010127761821
4,18,36,5,3,1165.3431036702882
3,12,54,1,3,1069.5750414699323
1,9,24,5,2,753.204378063233
3,20,63,1,3,1139.3000992078566
9,4,52,1,3,1153.772332018024
9,19,62,3,1,1371.6201500731506
2,19,30,1,1,769.7877048352327
9,5,27,5,2,976.340253533622
0,3,19,3,1,315.22478032672643
7,1,23,1,3,783.6019056682388
4,15,25,3,3,1041.4454503905793
3,17,53,4,3,1153.5281851745865
7,4,42,3,2,916.7600158833569
6,3,61,4,1,854.9002734415932
1,12,64,4,3,952.0774575032052
0,18,57,3,1,964.7548226706162
10,1,24,5,1,910.139581094438
3,12,63,5,1,1028.6006529403264
7,10,40,5,1,944.2197452548515
1,3,36,2,2,625.9357262910422
2,19,63,4,2,1095.1763093292727
0,19,39,3,2,891.5137306537766
0,14,30,5,3,929.587511807108
2,3,38,5,3,875.5471840381431
10,8,18,3,3,1137.6810462367791
4,6,36,4,2,769.7827046459805
2,18,50,3,1,899.2613036773222
0,18,21,2,2,754.55239324505
0,5,59,2,3,728.2059860582758
7,5,20,3,3,918.844528210346
9,19,44,4,1,1192.5863352114252
10,14,58,5,2,1371.0917425485318
1,14,52,2,1,772.2149308304547
2,19,45,2,2,1009.0971267422088
1,8,23,4,3,800.0878032484659
2,3,23,2,1,548.7977341736656
6,17,61,2,1,1179.4081547173446
0,17,40,4,2,852.3989506807616
9,4,50,3,2,1023.2161078138072
7,19,33,5,2,1232.1927145318716
9,10,41,5,3,1277.4420274042043
9,4,22,2,2,908.2941538284122
9,3,58,5,3,1294.5471486994068
1,11,59,3,2,878.9882931563791
2,1,30,2,2,608.7977651375218
8,12,64,5,3,1429.7762967957676
6,9,29,1,2,791.2201029186605
3,8,22,1,3,721.5003974957244
9,9,54,1,3,1250.1287593723596
4,6,48,1,2,801.4334834809328
1,3,45,1,2,630.412621451178
10,18,45,2,1,1245.3519070038903
7,9,47,4,2,1076.1798595009802
3,2,35,4,1,506.3008668172343
8,20,61,2,2,1324.6638545125609
4,18,44,2,3,1155.4386096722665
8,20,52,3,3,1460.4826922619893
3,1,43,4,1,634.7443252199879
9,19,56,1,2,1362.5289983241314
4,9,35,2,1,709.3315052340278
8,1,50,1,2,849.9152549531794
7,1,42,4,2,900.028610311917
2,16,48,5,3,1107.7877334700756
0,15,54,5,1,888.5910852223807
2,15,19,2,3,921.409335735088
3,13,50,3,3,1026.0610319907078
1,6,56,1,3,748.903906881018
0,20,60,2,1,792.3157881081042
6,10,60,3,2,1081.7556031913998
7,0,49,1,2,801.2896404287884
6,10,35,4,1,1025.3663298333781
4,20,34,5,2,1064.2310319796948
0,3,51,3,1,507.9290494230162
6,6,56,1,1,797.8569645536959
6,14,24,2,2,961.230852814618
8,17,59,1,3,1348.3301912444326
2,11,52,2,1,780.5748510739146
8,16,47,5,1,1227.0159060713975
0,0,29,5,1,433.90325469086673
0,10,52,1,1,552.3998246571616
3,0,28,1,2,573.9651600212634
8,14,61,2,2,1220.914984949119
5,20,21,2,1,844.6876447709243
10,9,42,3,3,1270.9054804815876
2,6,49,3,2,760.6682763773575
0,1,37,3,3,532.512934106672
3,9,48,1,3,943.6797826548751
8,3,21,3,1,714.4419939928706
2,11,55,1,2,782.302108481501
8,18,64,5,1,1329.9979576846522
6,10,18,4,1,852.8651895328056
3,7,20,5,3,779.208834880166
2,17,54,1,3,1087.0314135446226
9,10,39,1,3,1067.0316735299855
4,10,34,4,1,806.5333982419533
4,12,31,2,1,698.5152915590443
2,2,58,2,1,550.0724690472518
8,11,52,2,1,1126.8943758145322
3,2,30,3,1,480.59186844453166
10,9,52,2,1,1097.1878199123894
4,16,60,3,1,956.6644446264554
3,1,19,3,1,493.45944080047923
4,16,64,2,2,1120.4471383450477
6,15,30,2,2,1037.4900931385334
8,1,33,4,2,961.5434679273883
6,19,35,4,2,1158.109511392564
4,5,24,3,1,663.7253784901518
9,9,62,4,1,1234.4953040975029
9,9,53,3,3,1299.2222669165608
6,7,58,1,3,1004.6858187798213
9,0,47,3,2,914.7521118091314
4,12,59,3,3,1147.1136815350098
2,8,58,4,2,814.6537583516349
6,9,24,1,1,662.8301605188157
10,14,32,5,1,1234.1871005889182
10,4,57,5,3,1292.0601175151587
1,15,36,5,1,900.9700078238432
8,12,60,1,1,1037.1267153309957
9,19,54,2,2,1335.1320673039165
9,17,19,1,3,1232.9605850074734
0,10,59,4,1,725.2282527713268
5,8,30,3,3,945.7907364489198
6,15,57,3,1,1069.6018483758594
7,1,58,4,2,1142.1416035884126
9,1,60,4,1,1073.0385428707002
8,11,60,3,3,1352.1761884573662
1,7,48,2,3,728.7289900892192
10,8,33,2,2,1081.3044639067755
9,11,59,2,1,1158.0272144526803
1,8,61,4,2,872.4109557590127
4,9,23,3,3,948.8803691356356
4,1,45,3,2,702.9423583821003
5,15,49,3,1,983.0732035969692
2,19,61,1,1,877.2492557194272
7,6,27,1,2,901.7373429167221
0,1,35,5,3,679.9413542668103
5,0,21,1,3,659.6328773150616
3,18,26,2,2,911.2438948199617
0,3,24,2,1,342.5154701122496
6,1,25,2,1,561.0033995824845
8,13,60,2,1,1166.50831144408
3,1,24,5,1,543.8487713476479
3,14,58,2,3,1053.5339939496203
5,11,57,4,1,930.144529898058
2,4,20,4,2,642.7298180486697
5,19,34,4,2,1133.407068304861
6,6,19,1,2,710.2673217947658
10,20,32,3,2,1325.1082335410977
9,9,63,5,1,1195.2760030788447
9,13,46,4,3,1363.1905193943235
2,13,39,4,1,784.6027210139019
6,4,21,2,3,756.5404938933392
2,17,23,4,1,781.020624262886
1,13,55,2,3,884.042462952893
9,1,43,2,2,1015.950209812558
3,11,28,3,2,852.1463163218465
7,5,43,1,3,1052.8365207627955
8,3,34,2,3,867.0553205583142
6,12,41,2,3,1090.040908427309
0,3,45,3,2,571.0996269073648
2,13,52,2,2,908.7498239488185
8,15,48,5,1,1235.0437280585381
0,3,30,1,3,604.2312820201198
8,0,52,5,3,994.1747417607045
7,12,33,4,3,1134.9349759226989
0,3,32,1,2,452.88994190939115
5,19,60,4,3,1391.4749524226672
4,17,35,2,3,1115.090585826303
5,5,64,3,2,983.745124625215
9,2,54,5,3,1178.1469579100667
4,12,58,4,1,924.5099655023721
5,15,44,2,2,998.5275598172266
4,4,52,5,2,840.9473234867652
10,3,62,5,2,1170.2470929518965
4,20,52,4,1,1025.46533776493
3,7,45,2,2,791.7975068519727
2,18,56,3,2,1036.2165242043975
2,13,55,4,2,908.6606633351862
3,6,26,5,2,664.425867237939
8,13,29,5,1,1036.5333370328817
1,5,32,1,3,714.0027761493615
8,11,38,2,3,1170.3021630479252
0,15,52,1,2,830.0038381912962
0,16,59,3,1,814.0022974617887
4,12,50,4,2,1007.0932652587709
5,13,36,5,3,1066.347405586991
5,6,40,2,3,909.6657499821638
2,13,30,5,1,733.2605949720287
6,14,61,1,3,1289.060930512444
8,11,18,1,2,949.1610327651637
10,16,46,4,1,1333.8767893912695
9,8,41,2,3,1231.3723213742815
7,14,33,2,2,1012.7042979830944
5,11,42,4,1,900.0579781884848
7,1,40,1,2,884.2439298591357
4,4,45,1,3,863.1589613436817
7,12,64,1,2,1165.1359481580853
9,19,33,5,1,1290.6790540804682
3,7,60,3,2,904.0190559010603
9,13,55,1,3,1342.317756460583
7,14,28,3,1,975.1055235587444
9,10,20,3,1,923.0121448580863
1,0,32,2,3,517.0954537889892
4,20,18,4,2,917.1524361363249
8,2,24,5,2,893.5312451755392
3,16,18,3,3,971.8302189286744
10,18,49,5,1,1366.9285546144472
5,13,26,2,3,1031.7955708835505
0,7,46,1,1,493.69781660676387
8,12,43,3,1,1181.100004672923
0,19,40,4,2,1001.3628605284457
4,2,62,2,3,834.1202396336444
3,4,60,5,1,812.8254400382655
2,8,46,1,2,768.4387712738235
5,5,55,5,3,968.8740899706935
1,1,50,4,3,748.3442095452559
2,12,24,3,1,675.8457577301231
4,4,29,4,1,644.7189153199679
8,7,48,5,1,1049.2986887480924
1,0,49,5,3,748.9531733768457
9,19,37,4,1,1270.1289729740338
7,11,34,4,3,1237.4171164304273
1,10,53,4,2,873.5290852023562
10,6,20,1,3,1108.7656215045324
4,14,18,5,1,767.1290437685809
6,10,44,2,3,1181.3711692577997
7,15,64,1,1,1115.7463359356163
0,2,57,1,2,535.4716970753352
5,19,50,1,1,1030.769026784751
0,13,37,2,1,577.7694024208341
1,2,31,4,1,471.9036332946396
0,0,53,5,1,530.0561755024214
10,20,22,3,1,1165.6882999297807
4,14,40,3,1,877.7891891328271
9,0,62,5,2,1074.952542033176
8,16,32,2,2,1104.6305821468707
5,1,23,3,3,724.4526568989844
10,19,50,1,1,1241.314711962319
10,5,36,3,3,1142.465366574985
0,7,30,5,2,663.6938953069496
0,15,46,1,2,814.8152456045644
1,18,23,3,1,748.1043475087505
8,0,32,5,1,858.6249012119192
2,2,33,2,3,709.4084065457733
0,2,41,5,2,548.6652070794637
4,4,40,2,3,823.296703847752
6,11,27,1,3,1073.9704249609267
5,11,58,5,3,1182.7680627964633
0,19,58,4,1,982.6940808169388
4,12,34,4,2,909.1396335611281
4,19,61,4,3,1202.6222785489601
5,8,62,4,2,1027.63597505254
2,6,47,4,2,817.3284639802539
4,3,61,2,3,1008.1725861884369
6,18,63,5,3,1351.1045677589987
4,18,27,1,1,866.4133489304256
4,5,36,4,2,844.6573912543487
4,12,46,4,3,1155.0701195153847
9,10,19,1,3,941.4400857958213
9,12,53,1,2,1267.8414810340316
2,12,36,4,3,962.0451001154131
0,19,24,2,2,782.9323565458808
4,14,43,1,3,1076.9499319153285
8,20,32,5,2,1209.757765647927
0,12,64,5,3,1060.749938894201
2,10,55,2,3,1053.7458658426913
3,18,20,3,1,731.5674907141678
0,7,55,2,2,671.7803108924436
0,19,33,4,1,766.8730238435139
7,7,19,3,3,992.8226457023495
1,9,48,4,2,811.3019765987528
7,15,45,5,2,1191.4254059793748
6,18,24,1,3,1111.9975240964188
9,10,47,4,3,1392.2015752826605
9,12,60,5,3,1460.3076356327222
1,8,24,2,3,708.4124503741801
5,19,53,4,2,1179.2726162225651
5,18,46,5,1,1156.9570426669009
2,15,41,1,2,824.1539091695041
10,6,56,4,2,1117.4931624009637
1,18,21,5,2,886.0100574942315
0,11,46,4,2,805.3466662791493
5,14,61,1,3,1150.059774757568
4,13,22,4,1,678.392359356942
10,10,46,4,2,1194.189827546022
8,9,47,5,2,1159.2438662720724
0,10,46,3,1,600.478781992469
6,5,43,4,3,1057.0835688411255
4,1,36,3,2,719.5838249178671
4,10,43,2,3,953.2088886027384
1,18,54,4,2,930.0508939019173
10,5,44,3,2,1182.6605035996845
2,13,47,2,1,783.0289370414121
6,19,47,5,1,1198.5699762517052
5,5,20,4,3,889.2072667708399
1,16,60,5,2,1074.87093780281
5,9,24,2,3,890.9452045868675
1,0,26,5,1,471.416336237693
1,2,58,5,1,663.4250576398745
1,7,59,1,1,646.7709283970592
10,7,30,2,1,890.2686855489795
2,19,32,5,1,896.956170229118
1,14,22,3,3,849.3527332315081
