Distance Traveled (miles),Number of Participants,Age,Accommodation Quality,Duration of Stay (days),Travel Expenses (USD)
360,1,27,5,3,2111.9983205903604
313,4,59,3,3,2713.8327767594997
280,2,31,3,1,1626.5034418684227
465,4,29,1,3,2062.6446758375378
471,2,64,2,2,2370.4200006445813
224,1,59,1,1,1634.2516931407156
261,4,47,2,3,2455.873295625182
199,4,49,3,3,2655.3127209413374
305,1,49,5,1,2220.3362870138803
222,4,59,4,3,2912.527716481912
217,2,49,3,2,2141.8362759577735
246,4,43,2,1,1917.0510384081313
347,3,18,1,3,1615.2402566059106
376,5,59,3,2,2732.14934048228
62,2,19,5,3,1913.3845388912177
289,3,34,2,1,1638.3847450217372
419,1,47,1,3,1994.5793372265314
226,2,56,4,3,2592.8975376870835
261,5,24,2,3,2024.26799896165
197,5,44,1,2,2004.1901328636357
389,1,26,4,2,1817.8867611983749
50,1,39,1,3,1677.8244135243042
166,2,51,4,3,2532.9076808231534
24,4,63,4,1,2448.9220937699292
310,1,18,4,3,1837.51959290775
74,4,26,1,1,1341.1590353448335
354,3,37,4,2,2265.6942526661437
336,5,36,2,3,2303.2430416254488
18,4,53,5,1,2449.267434152258
353,5,57,5,2,2945.429994844849
138,4,62,4,1,2637.8459875520657
145,3,21,5,2,1939.2944151779952
481,1,26,5,3,2266.5592394835153
72,3,58,4,1,2271.6620360069655
148,1,39,4,3,2172.7376936601254
90,1,35,2,1,1361.8712137945133
401,5,29,3,2,2156.8906942301787
172,3,59,1,1,1873.5998570924212
428,4,60,4,1,2633.4721223953366
298,3,56,4,3,2744.856266954135
388,5,26,5,3,2604.972874758622
270,1,23,2,3,1551.0885540170798
499,5,36,5,2,2634.7949890891273
240,2,64,4,3,2798.584615534963
50,2,24,4,1,1597.745292593983
37,4,33,5,2,2284.3893667417547
144,5,22,4,3,2280.6248668608728
210,4,33,3,1,1776.4222444995694
337,4,18,1,1,1259.3318500333921
277,2,54,1,2,1968.2965843300658
427,4,56,1,1,2140.727937569311
42,2,36,3,3,2009.803814700399
57,1,54,4,1,1971.0411212731874
416,5,34,5,3,2702.6546092300478
71,4,43,2,3,2255.1235771569964
225,2,39,4,2,2112.9170026849656
302,3,25,3,1,1603.6230677477392
108,4,50,3,2,2302.4806394570437
181,1,19,1,2,1165.269783034388
369,1,47,4,2,2171.7812397462835
223,3,64,1,3,2444.0930535681928
484,2,37,2,3,2087.5810612921728
44,4,35,1,3,1809.7044925624837
458,2,60,2,3,2518.629929550607
236,1,27,3,1,1522.3262204957286
110,2,41,1,1,1383.2496131422047
440,1,21,1,3,1496.3019979867906
471,2,54,5,3,2761.64357224352
140,3,21,3,1,1433.054374532587
266,5,30,5,2,2329.2812728592658
14,3,42,2,2,1829.4089601692938
227,3,30,2,3,1934.8083390070103
264,5,35,3,2,2125.711704030998
407,5,41,2,3,2435.551731107106
368,4,19,3,3,1975.0113185488503
292,4,50,2,3,2379.2273319795995
402,3,36,4,1,2070.135202404775
216,3,26,1,2,1429.9295843259094
24,1,45,4,1,1790.8080697109424
355,1,52,3,2,2138.9631198228813
51,4,56,3,1,2206.3442032327125
389,4,27,4,1,1936.115115540822
470,1,18,1,3,1436.7384060424176
188,1,59,1,3,2088.5631822448454
72,2,38,5,1,1932.7348667574472
361,2,26,2,2,1615.1920823091916
240,1,64,5,2,2655.8946447200215
250,2,32,1,3,1771.0884541341927
61,5,52,4,3,2808.6505329958945
105,4,22,2,2,1647.823252718255
397,4,58,4,2,2826.1704256130974
231,1,39,5,2,2154.8542787566043
494,3,58,3,3,2799.6810709590272
416,1,40,4,2,2124.7845939246863
240,2,24,5,3,2216.3381307777404
246,3,40,5,1,2085.2571620307112
152,2,61,5,1,2430.2219354999
180,5,42,3,1,2100.5036899157817
38,2,44,3,2,1977.4980416293843
45,5,58,3,3,2731.618067009444
22,5,23,2,2,1587.8749848016375
169,2,51,3,3,2345.6221194866853
336,2,26,3,2,1778.8102367528254
196,5,50,3,1,2232.2174380888564
252,3,23,4,3,2090.6250808806844
95,5,54,3,2,2573.327463768687
293,4,48,2,3,2397.156132676755
75,5,51,5,3,2899.6308974560498
179,3,58,4,2,2559.2086439075542
54,4,46,1,2,1908.8769431796886
71,1,31,3,3,1812.2309005169345
450,1,53,5,3,2754.660039086902
143,3,53,5,1,2321.9967277508
293,5,32,4,3,2480.439759302626
37,2,25,1,1,1007.0810935341821
117,3,43,2,1,1721.2983543049093
53,4,53,5,1,2466.7287927161356
349,4,38,5,3,2677.565158494849
295,1,45,5,1,2050.1580677472857
455,4,21,5,3,2375.954073213619
340,3,33,4,3,2420.0504554810022
137,4,39,1,2,1870.984849360668
357,3,29,5,3,2381.3892048273756
482,2,33,2,3,1973.6405948932093
240,1,57,2,1,1854.5609433322109
199,4,55,3,3,2711.483920624028
234,3,59,5,3,2859.45206974105
394,5,54,5,2,2899.241393644712
386,1,46,5,2,2383.5659576613916
292,2,35,5,1,2010.7939808486233
455,3,27,5,1,1996.1175353062154
130,2,59,2,2,2132.385424537464
125,2,56,1,2,1949.0480526892522
470,4,35,1,3,2064.4801849845057
242,4,18,3,1,1477.8278002276845
268,3,56,2,1,2044.7298012015733
368,5,38,5,3,2803.4678355906854
207,3,18,1,3,1407.2777510519666
465,5,32,4,1,2192.111158793758
420,2,21,4,2,1878.7087834495903
146,1,37,4,2,1895.137198046636
327,3,27,5,3,2336.544219443754
174,3,40,5,1,2100.079137472914
234,5,58,3,3,2819.380786539444
316,2,51,3,2,2200.0914069278797
243,2,63,3,2,2503.880278603174
181,5,50,4,3,2796.7303221192965
161,2,51,5,2,2343.124421396456
472,4,56,4,1,2584.52673177334
324,1,27,3,3,1937.956991136855
383,3,37,5,3,2606.9534025140506
169,1,18,2,3,1504.0008284797636
105,3,30,1,2,1536.3590611363925
481,4,18,1,1,1400.049193192115
242,2,22,3,3,1858.1146614401666
189,5,33,4,3,2502.18760327929
122,4,32,2,2,1816.8338045823318
327,1,45,5,1,2027.748358371532
451,5,48,4,3,2831.035512210467
61,2,40,3,2,1826.952173842147
277,4,62,4,3,2852.220188777596
304,5,60,3,2,2680.261765425304
395,4,34,1,1,1698.2736621594706
396,4,51,1,2,2096.1811948911527
122,2,30,4,3,2097.403758475263
110,3,31,2,3,1901.4551980836472
122,5,28,5,2,2282.4984378688637
449,2,45,3,1,2033.6290271207308
90,4,59,5,1,2572.934294854114
196,2,49,1,3,2104.076228288004
122,3,52,2,3,2291.0254394271806
11,5,48,2,2,2182.668195064832
139,3,34,5,2,2192.4198981638233
229,1,64,1,2,1998.3101084289742
63,5,26,5,1,1934.1707248514974
352,3,27,4,1,1844.7620942972496
494,4,25,2,3,2114.364337810099
233,5,38,2,3,2288.707723071394
234,5,30,4,3,2442.6975879545757
394,2,22,1,2,1309.2839154246828
412,4,23,2,1,1585.262890842679
135,1,47,3,3,2053.5207166809355
139,3,48,3,3,2319.720973501602
62,2,34,1,3,1727.7096407219292
181,3,28,4,3,2151.1825020635033
227,1,37,5,3,2308.79179988382
169,1,26,1,3,1482.1900634256608
207,5,19,5,1,1973.4065105597992
425,1,54,1,3,2128.9586265231546
256,3,18,3,1,1452.645869091092
333,4,21,4,2,1983.024393065855
448,4,53,3,1,2257.4007564870167
212,5,42,4,2,2428.274675598751
193,3,20,5,1,1767.152367750898
132,3,26,1,1,1216.7508731022056
410,1,39,2,3,1966.2046248913753
264,3,40,2,1,1771.1099410618644
303,2,29,4,1,1739.5559444385474
289,1,27,4,3,2002.0937576198673
334,2,51,3,2,2155.7638289774204
381,5,60,2,3,2812.9160005337762
107,4,27,3,3,1988.0778892286394
207,5,47,5,3,2892.2739441296644
479,4,39,2,2,2066.3398340276185
404,5,23,5,1,2158.6462723724644
249,3,19,1,1,1245.980395855614
153,2,47,3,3,2259.1212417801403
106,4,19,4,3,2025.155521232041
210,1,49,2,1,1736.537483284841
133,2,59,3,1,2125.094351669407
196,1,33,4,1,1654.4358629926273
335,2,29,1,2,1515.910494288734
473,2,18,2,2,1597.9906732358336
358,5,25,5,3,2495.406479773745
268,4,30,1,2,1654.705700358104
157,4,32,4,3,2358.2329138759596
261,2,61,2,1,2156.1217192264426
452,3,25,2,1,1534.8607976944204
429,3,27,1,3,1719.0219387515456
412,1,63,2,1,2085.519103204867
355,1,22,4,3,1891.2525728411483
460,5,36,1,3,2223.808093995296
156,2,64,5,3,2840.0337414404235
157,1,55,1,2,1754.7105108531991
361,1,28,1,3,1575.6564709046181
208,2,60,5,3,2936.6124945640813
317,5,37,4,3,2529.9191455478394
498,1,37,3,2,1922.9827243085622
426,5,38,3,1,2049.8098043377195
433,4,35,5,2,2480.9936098303565
137,5,27,4,3,2319.575217760521
48,3,51,2,2,1972.804376428495
347,3,43,5,1,2347.8865133229983
369,5,47,3,1,2178.389685824922
138,3,26,4,3,2167.8226454417077
276,4,63,1,1,2216.7234436715553
485,2,48,4,2,2417.78984592255
450,3,59,4,2,2749.805565879354
482,3,21,3,1,1602.0945134179092
443,5,23,3,3,2154.4814489533815
160,4,31,2,3,2011.8242767749014
424,2,21,2,2,1453.4541279576056
487,5,43,5,1,2552.955995324684
307,5,64,1,2,2421.657870543826
108,4,56,2,2,2322.770686596444
272,2,34,3,2,1885.0084416307998
261,4,36,4,3,2484.415262702733
153,2,23,5,1,1703.514620493905
355,4,46,2,1,2091.540685513791
121,5,28,4,3,2371.6199889615405
69,5,33,4,2,2279.6810918507604
378,1,47,2,2,1883.9974829195485
11,3,42,1,3,1868.3707346338201
394,4,57,1,1,1965.834447445722
313,1,28,5,3,2146.88059792626
263,3,24,1,1,1259.7225541271641
149,4,43,5,1,2306.2156033451306
462,2,39,3,1,1834.4528807211132
46,3,42,2,2,1899.8200560094424
169,5,36,4,2,2337.8171492120773
18,1,48,5,3,2395.3213945030398
242,3,43,1,3,1983.078394737431
108,3,59,5,2,2687.295390960526
156,5,58,5,3,3092.966109201912
313,4,53,1,2,2136.1130624071284
217,2,40,1,2,1645.5395729017619
140,5,64,2,1,2279.1070404398374
413,2,30,4,1,1840.4275276964722
161,4,42,2,2,2055.2366427446373
63,3,19,2,1,1213.949360175997
129,2,19,1,2,1232.7751005439015
170,1,33,1,1,1201.5578257139327
417,1,26,4,3,2109.313303509455
125,5,45,5,3,2747.6795847954813
84,4,30,2,2,1752.0895215792596
122,5,52,4,2,2646.1674374328663
465,5,58,2,1,2467.105001291467
429,5,30,5,1,2304.1287546373396
431,1,48,2,2,1923.6009797131205
113,1,38,3,3,1883.7475632452738
349,5,49,4,3,2846.006147049091
263,1,51,1,2,1819.5859155001365
236,4,25,2,3,1965.236752667248
121,5,58,4,2,2665.726502247232
482,1,19,4,1,1551.5369029507287
108,2,55,2,3,2120.1185868019625
162,5,49,1,3,2274.0253123488906
358,5,57,1,1,2212.013871231267
411,4,45,2,1,1945.939468763974
393,3,54,4,3,2721.3208444747397
375,3,58,1,3,2371.22884884236
347,4,18,2,2,1642.3496105461115
203,4,58,2,2,2305.7372537124684
319,4,27,2,3,1997.8858151348272
172,3,21,4,2,1784.391074525217
217,4,52,1,1,1956.396599980086
454,1,27,4,2,1842.8109621415224
178,5,64,3,2,2720.416974244344
493,5,28,1,3,2064.816855842017
170,2,31,4,2,1884.013135432136
77,2,55,1,3,2126.985065716457
298,5,29,3,3,2327.8806788641264
407,1,62,5,3,2869.0517220070965
286,3,34,2,1,1637.6560152847119
313,3,33,4,2,2070.1235529573664
413,1,52,3,2,2224.690084975061
393,3,19,3,2,1738.141153106504
401,4,28,1,3,1892.3029678326304
144,5,58,1,1,2098.4966201925035
204,5,20,2,3,1931.642783255184
410,1,46,1,2,1836.5193906551015
137,3,35,4,3,2288.374108794784
42,2,37,4,3,2205.420518284187
185,2,64,4,2,2667.742768113089
469,3,31,5,3,2452.8017130014173
452,2,51,4,3,2704.5661231612257
380,1,48,1,1,1556.0425697865123
479,1,57,1,3,2193.8274745592994
384,3,59,4,1,2471.4100163711673
31,2,35,3,2,1733.1984583588599
247,1,47,3,1,1772.838398018996
167,1,42,3,3,2070.4797631211113
47,4,36,2,2,1826.837550883946
239,4,25,5,3,2336.234863878527
374,1,45,4,3,2339.3691975292436
60,3,25,2,1,1401.2574646237724
447,5,48,3,3,2673.489985275122
273,5,20,4,1,1828.1160216779697
292,1,20,2,2,1401.8961340838357
36,1,61,1,2,1928.4773649787783
235,1,39,3,3,2059.1857473647356
286,3,34,2,1,1591.8179029944313
295,4,53,1,3,2356.562296688712
106,1,34,3,3,1826.7964817176526
293,1,31,5,3,2202.243269233278
376,2,26,3,3,1942.9866094586348
457,3,47,5,1,2408.31484586638
490,1,38,5,3,2415.599506600129
462,2,29,5,2,2076.2059452127805
326,5,54,4,1,2605.5926627391223
313,1,49,4,3,2487.988479867711
156,1,28,5,1,1731.7327152592284
13,2,37,1,3,1715.4209629244135
44,3,52,5,2,2520.518128379379
201,1,64,2,2,2145.815730540163
58,5,63,5,2,2909.6586848229854
26,1,28,4,1,1545.7677735164398
181,5,25,4,2,2174.645367238221
229,4,21,2,3,1825.2623299511283
167,4,44,2,3,2263.688208766667
486,5,61,3,3,3049.6160777621362
55,3,57,1,1,1822.1733281020122
382,1,55,1,1,1749.4517277432465
15,1,64,1,2,1934.5100368985898
108,4,47,4,1,2147.108204772427
389,5,61,1,3,2645.849380975916
242,1,44,3,3,2144.316687778899
46,1,38,3,3,1806.9949659340484
289,3,37,1,1,1538.8756630304579
358,2,21,2,3,1815.1282939714013
311,4,28,3,2,1944.031546095579
190,4,30,2,1,1596.6563092356193
104,2,26,4,3,1929.9757014274403
108,1,21,3,3,1569.3050354956597
197,3,29,2,1,1462.9954141757382
490,3,26,1,1,1446.4896607293388
125,4,30,4,2,2050.8123289993937
200,3,43,5,1,2191.296137080146
262,2,55,5,3,2805.7797857448845
478,1,59,1,2,2079.0048559212037
425,2,30,4,3,2226.4636920452267
480,5,56,4,3,3119.5147220563035
170,4,45,4,3,2638.2317114586103
265,3,36,4,1,2027.287001376347
332,5,41,5,1,2375.358419452052
137,3,36,2,3,2031.3627716321764
27,1,30,4,1,1595.791146660921
290,1,30,2,3,1663.3671996726487
499,1,45,4,1,2048.4952801660534
232,3,19,3,1,1418.8366328420325
63,5,27,3,1,1720.2832366869409
67,1,39,3,2,1820.8489141237167
332,5,30,4,1,1996.2132246965596
369,3,26,2,2,1716.7493857586255
183,5,50,5,2,2713.2692272252
289,3,31,1,2,1673.3820809092608
123,3,37,5,3,2472.5467211062146
297,4,32,4,1,1980.6126695987293
440,3,49,3,3,2514.0941515453287
351,3,50,3,2,2458.3960946592565
160,2,34,2,1,1473.9944280171828
459,1,41,4,3,2278.502276399447
136,4,47,5,2,2517.4628954875852
164,4,30,4,3,2302.6307644874596
499,4,64,4,3,3092.9986862576548
395,2,33,3,1,1677.1495950144322
483,3,19,5,1,1920.7962908543893
282,1,34,1,3,1715.8704817820721
113,5,49,3,1,2157.9396467782412
426,3,60,5,1,2721.5427598741408
402,2,25,2,3,1765.4692240292884
308,3,20,3,1,1588.6770576117776
255,3,29,2,1,1534.3772901278285
185,2,37,3,2,1897.009085895434
48,4,33,4,1,1864.7598333024841
486,4,31,5,2,2382.5674147913032
179,1,33,2,3,1633.1750815712
256,1,60,3,2,2263.292714920195
35,4,50,2,3,2316.9752251950995
364,5,47,3,1,2180.694923989164
315,3,29,3,1,1728.669196454544
418,5,32,1,2,1890.9814256810319
417,3,35,1,3,2019.2356046130312
22,4,45,1,1,1626.8169790538436
325,1,40,2,2,1824.3210390903125
400,1,31,4,2,1897.5484548570537
322,5,47,3,2,2448.4857415671254
45,1,50,5,1,2083.2807620801045
182,4,62,1,3,2478.9169115926666
29,5,32,2,1,1669.7178381492395
330,3,24,2,1,1348.772577961696
273,1,32,2,3,1769.5306126858372
409,2,59,5,2,2730.4789050818586
151,1,63,5,1,2286.175956651162
469,3,55,1,2,2216.6235188056635
380,5,63,5,2,3054.432329926509
480,3,61,1,3,2557.116461182299
152,2,28,5,3,2190.297583031403
101,4,46,5,3,2691.7859061449863
363,1,48,5,2,2441.734602926481
331,5,42,1,2,2138.593352680465
297,4,41,3,1,2020.4253367139847
224,3,36,1,2,1750.744304557195
456,5,19,3,3,2149.193669828146
351,4,39,2,3,2303.6160928766044
60,5,37,2,3,2151.6261398899173
162,2,50,1,3,2122.2945889581424
195,2,25,3,2,1701.3653644812514
72,1,42,3,3,2049.5172370829414
199,1,63,3,1,1982.8064399897598
134,2,26,2,2,1509.4408320700263
159,5,51,1,3,2287.753351718686
323,2,40,4,1,1979.162650377384
67,1,22,3,3,1687.3749594319431
351,2,42,3,2,2099.9498483506973
314,2,25,4,2,1899.9356202907657
189,5,33,1,1,1585.8488275244913
179,4,62,3,2,2503.2699644389845
335,1,32,1,1,1218.9276420705921
280,5,18,3,3,2033.5131774955353
63,2,39,5,2,2160.7969689899646
500,2,20,3,3,1963.4563981739605
453,4,55,5,3,3113.0288934721075
110,1,31,1,2,1435.9862610812745
490,1,53,3,3,2404.9356336195
273,3,35,2,1,1694.6983911740951
62,1,64,2,1,1954.76780386729
69,4,58,4,1,2388.6718922400382
117,3,35,2,2,1710.4516980839462
14,3,20,5,3,2026.2260414797247
112,2,27,2,3,1662.8221898116294
205,2,56,2,3,2408.0333870760387
271,1,64,2,3,2456.912522916454
374,3,18,3,1,1540.2828141182765
489,2,44,4,2,2328.883682465032
381,4,44,1,1,1809.0601990741038
359,2,28,4,1,1756.366789942764
56,2,22,5,2,1823.1232679796528
364,3,24,3,2,1807.1985151701167
320,3,36,3,1,1848.3344437827488
433,5,46,2,3,2483.205832941879
317,4,32,2,2,1911.850476284021
153,3,52,5,2,2560.9600023889943
278,1,64,3,1,2133.269187054875
379,4,54,1,3,2451.531363374211
133,4,29,4,2,2136.2591344570483
115,3,47,3,1,2011.4034855829195
167,4,37,1,2,1759.3692531793465
156,3,54,1,3,2241.219874019528
154,2,20,4,1,1519.1693406594725
129,5,26,1,1,1440.4585881467556
328,2,58,5,3,2872.8002598322946
284,3,56,1,1,1929.187971392253
101,3,43,5,3,2686.1289417032567
67,2,19,1,1,976.3658645683282
448,1,40,2,3,1960.628955387757
355,1,40,1,2,1575.1853469490384
238,1,38,5,2,2120.440420780403
483,3,33,1,2,1689.1558063480518
126,4,26,1,1,1326.3741138009448
327,3,30,1,3,1924.7605332193455
288,4,45,5,3,2768.4283714593694
136,2,44,1,2,1643.6358324902824
402,5,34,4,2,2370.621081093516
405,4,55,4,2,2697.302561696857
138,1,53,5,3,2529.558629889663
67,3,18,2,2,1331.5817384436439
131,2,35,4,1,1833.3125523349293
10,1,26,3,2,1500.0382017649083
248,2,30,4,2,1899.862993656232
299,5,57,3,3,2781.7297664607845
105,3,62,5,1,2516.627917028924
135,3,32,2,3,1846.1982039656314
127,5,60,3,1,2384.5258846251413
57,3,61,3,1,2301.8454003552724
98,4,63,4,2,2720.942727324326
497,2,21,3,2,1687.5991923465688
246,1,50,5,3,2606.976779759688
382,5,41,5,3,2814.4978385462246
394,4,53,5,3,2986.7187599160957
281,1,58,4,1,2107.791427706042
198,1,27,2,3,1702.7034524183025
496,5,53,4,1,2597.913530101931
201,4,37,5,1,2149.5617754277287
456,1,58,4,1,2320.474537801115
78,1,62,5,1,2276.6139174831665
287,4,61,1,1,2064.1532693194627
358,3,28,1,2,1570.0476009462852
256,1,29,3,1,1398.1241067942908
460,2,35,2,1,1597.327566307492
85,4,47,1,2,1922.5921210678935
163,1,61,5,2,2546.1062642295256
153,5,54,4,2,2590.26827427623
444,2,37,4,3,2349.7835077993755
494,1,42,3,3,2266.033366017212
95,2,29,4,1,1664.8718170269888
194,2,38,1,1,1382.1236609186885
294,3,42,4,1,2077.558035670204
471,2,28,1,1,1333.1090099741625
229,3,26,1,2,1414.9152193184293
78,4,42,2,3,2151.99207134939
56,3,52,3,2,2257.8114148555046
103,5,49,5,3,2922.105739609139
247,1,31,1,2,1414.0946038608743
455,4,18,3,1,1504.4392134280642
462,4,34,5,3,2621.92436582682
213,5,42,4,1,2269.879721700714
409,3,25,3,3,2140.119630917422
227,1,22,3,3,1702.7719958190412
483,3,22,3,1,1636.2936453430264
441,2,58,4,1,2374.8424132844484
350,3,52,4,1,2249.673705411524
48,4,36,3,2,2011.5963204977838
109,1,40,2,3,1778.4326176354455
298,3,26,1,3,1714.737927207916
263,1,47,4,3,2375.952489095198
231,1,33,2,1,1377.9649137829704
366,2,50,4,3,2518.0796420553083
32,2,19,3,3,1610.5486673578596
259,4,31,2,1,1683.9368003217294
19,5,63,5,1,2723.1428910075974
255,1,18,1,3,1302.3763020974793
334,5,43,1,2,2023.4433468083232
109,4,42,4,1,2134.6405125011397
299,1,33,1,2,1461.2181495635834
189,1,32,5,2,1927.9620821927992
232,5,43,2,2,2166.5674489538073
403,3,64,2,2,2441.194616328882
259,2,61,3,1,2214.5689837456584
156,3,33,2,3,2000.6809386116897
451,5,31,4,3,2491.458023979802
105,2,46,5,1,2130.358709622204
266,3,41,3,1,1909.9492254270579
334,2,64,4,2,2539.7738487494826
13,1,32,4,2,1788.1308208390737
25,3,36,4,1,1937.447378615459
289,2,25,1,3,1601.4018177599469
345,2,51,4,2,2460.481000299158
256,2,19,1,1,995.2719481043081
267,3,44,2,1,1777.5617885523016
485,4,27,1,1,1536.0621617203124
393,3,52,4,2,2493.815997005585
169,5,40,5,1,2336.4048953022852
484,3,25,5,3,2442.168735262813
349,2,45,2,1,1730.3467612121117
161,1,40,4,2,2032.8759696606235
405,3,21,1,3,1576.3353139443614
187,3,31,5,3,2335.061740726654
172,2,59,3,1,2106.153391136132
389,1,46,4,1,1968.152101716994
42,1,18,4,3,1653.2593274201397
426,5,21,3,1,1852.8072414533476
454,3,49,5,2,2718.9965952416146
188,1,50,3,3,2280.0017130750584
436,1,43,2,1,1730.060618331676
110,4,34,1,3,1853.9814789865695
277,4,56,1,1,1947.3579787284827
332,1,40,5,1,1975.6199576013735
74,5,49,3,2,2334.049110218135
426,1,32,4,1,1722.5242516536293
177,2,30,4,1,1714.9069395813344
339,3,19,4,1,1665.6588939758103
52,5,36,2,2,1937.2169034005137
53,2,41,2,1,1540.7961178294825
294,5,62,4,1,2741.74611409012
406,2,41,5,1,2108.408852044978
21,3,28,2,3,1809.9836533507853
104,3,39,2,2,1726.4352899897438
311,4,32,1,3,1917.2052168657203
395,2,27,1,2,1563.0293387403779
262,4,58,5,2,2856.042094615807
251,2,44,2,3,2082.1679147427717
44,4,26,2,2,1687.766017838668
224,3,45,3,2,2191.7552038376675
346,5,18,5,3,2410.7307417726474
99,4,34,5,1,2069.432041395062
273,2,48,3,2,2194.497252486132
102,2,61,3,3,2488.80491772637
419,3,27,1,2,1564.9407964657228
467,2,54,5,3,2957.2139826819125
99,1,46,5,1,1994.504182274859
427,5,35,3,2,2161.907770180932
124,4,64,4,1,2595.1247631773426
114,5,55,4,1,2525.0651095595495
400,3,56,1,3,2358.2124848475873
205,4,23,4,2,1857.7799988146646
323,4,57,4,2,2698.7391045163563
123,1,29,4,2,1845.1150560713377
84,3,31,2,2,1672.127955847995
422,2,61,1,2,2219.4679020773824
385,1,27,3,3,1923.8406020153457
429,1,37,4,2,2103.0646739701356
226,5,32,2,1,1846.1264975937636
286,5,48,4,1,2457.0060501902904
258,5,24,2,2,1804.9641498910362
173,1,58,1,3,2040.7062882475386
403,2,27,4,3,2162.9857139456285
366,4,27,2,2,1813.3273971374488
466,5,56,5,1,2838.839318703222
417,2,45,5,2,2415.356484522703
201,3,47,2,2,2025.4693931712345
236,5,54,4,2,2698.5579845366046
186,4,20,4,3,2046.0396127314862
108,3,60,1,3,2305.9930200871677
45,3,32,1,1,1351.842790124135
475,4,38,3,1,2143.0069201948754
496,5,54,1,2,2341.2345093407457
105,1,29,4,1,1577.791299140852
161,4,21,3,2,1651.5991764478285
160,4,64,1,1,2109.6230229106673
199,4,26,2,2,1723.0324704030281
233,3,56,5,3,2927.2094737225993
